rcode,term,attempt,q1,q2,q3,q7,q8,q11,q12,q13,q14,n_correct,score
W25-R081,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,Yes,Senior,11,3.0
W25-R082,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria",Yes,I utilized the YouTube videos only,"Hispanic or Latina/o,Native Hawaiian or Other Pacific Islander",Man,Yes,Junior,11,2.8
W25-R083,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,Yes,Junior,12,2.8
W25-R084,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Middle Eastern or North African,Man,No,Junior,12,2.8
W25-R085,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Hispanic or Latina/o,Woman,Yes,Junior,11,3.0
W25-R086,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Woman,Yes,Junior,11,3.0
W25-R087,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",,,,,,Junior,9,3.0
W25-R088,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
W25-R089,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria",Yes,No,Asian,Woman,No,Junior,11,2.8
W25-R090,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,10,3.0
W25-R091,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,"Asian,White",Man,No,Junior,11,2.8
W25-R092,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Sophomore,10,2.8
W25-R093,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",,,,,,,8,2.8
W25-R094,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Middle Eastern or North African,Woman,Yes,Senior,11,2.8
W25-R095,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,"Asian,White",Woman,No,Junior,12,3.0
W25-R096,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Middle Eastern or North African,Woman,No,Junior,10,3.0
W25-R097,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,2.8
W25-R098,W25,1,G-Finder,True,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,"Asian,Hispanic or Latina/o",Woman,No,Junior,10,2.0
W25-R099,W25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Black,Man,No,Junior,10,2.8
W25-R100,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,"Middle Eastern or North African,White",Woman,No,Junior,11,3.0
W25-R101,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Woman,Yes,Junior,11,3.0
W25-R102,W25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Middle Eastern or North African,Woman,No,Junior,10,3.0
S25-R001,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Prefer Not to Say,Prefer Not to Say,Yes,Senior,11,2.8
S25-R002,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Woman,No,Sophomore,10,3.0
S25-R003,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Man,Yes,Senior,10,2.8
S25-R004,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Sophomore,9,3.0
S25-R005,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,No,Prefer Not to Say,Prefer Not to Say,Prefer not to say,Senior,12,2.8
S25-R006,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria",Yes,I utilized the YouTube videos only,"Black,African-American",Woman,No,Sophomore,10,2.6
S25-R007,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,Yes,Senior,11,2.8
S25-R008,S25,1,G-Finder,False,"Leprosy,Dengue",No,I utilized the YouTube videos only,Prefer Not to Say,Man,No,Junior,10,2.4
S25-R009,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,Prefer not to say,Senior,10,2.8
S25-R010,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Asian,Man,Yes,Junior,11,3.0
S25-R011,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,White,Non-Binary/Third Gender,No,Junior,12,2.8
S25-R012,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,"American Indian or Alaska Native,Asian,Black,African-American,Hispanic or Latina/o,Middle Eastern or North African,Native Hawaiian or Other Pacific Islander,White",Man,Yes,Sophomore,11,2.8
S25-R013,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Senior,9,3.0
S25-R014,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria",Yes,Yes,Asian,Woman,No,Senior,11,2.8
S25-R015,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria",Yes,Yes,Asian,Man,No,Senior,11,2.8
S25-R016,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,White,Man,No,Senior,11,3.0
S25-R017,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,"Asian,Hispanic or Latina/o,White",Man,No,Senior,11,2.8
S25-R018,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,No,Asian,Man,No,Sophomore,10,3.0
S25-R019,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",No,I utilized the YouTube videos only,Asian,Woman,No,Junior,10,3.0
S25-R020,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Woman,Yes,Senior,10,2.8
S25-R021,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,I utilized the YouTube videos only,Hispanic or Latina/o,Man,Yes,Junior,11,3.0
S25-R022,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,"Middle Eastern or North African,White",Man,No,Sophomore,11,2.8
S25-R023,S25,1,G-Finder,False,"Leprosy,Dengue,Malaria,Tuberculosis",Yes,Yes,Prefer Not to Say,Man,Yes,Senior,11,2.8
S25-R024,S25,1,G-Finder,False,"Hepatitis A,Leprosy,Hepatitis B,Dengue",Yes,I utilized the YouTube videos only,White,Man,No,Junior,11,2.4
S25-R025,S25,1,G-Finder,False,"Leprosy,Hepatitis B,Dengue,Malaria,Tuberculosis",Yes,Yes,Asian,Woman,No,Junior,12,3.0
