subject,stimulus,round,dil_mean_bilateral,cognitive_load_mean,hr_mean,gaze_dev_variance,gaze_dev_median,openness_frac,closure_frac,pct_time_closed,duration_s,effective_hz,gaze_deg_median,gaze_deg_p90,gaze_pct_beyond_10deg,gaze_excursion_rate_10deg_per_min,gaze_deg_median_subject
S06,BOR,1,3.24475014203,0.595438342235,92.2900575185,0.0156226650676,0.241530182077,0.83,0.17,15.6532456861,815.9,2.99401197616,20.1677068393,31.2158955924,86.9801980198,9.76706681355,17.5177205976
S06,CLC,1,3.42582329341,0.541018064035,89.5385964912,0.0117929731567,0.307845740591,0.914,0.086,6.97368421053,823.2,2.79329608933,18.8398235053,29.4051761449,88.529247694,26.44664226,18.2109131392
S06,INT,1,3.57030055319,0.601210553445,89.9792402827,0.011567636128,0.167388769038,0.89,0.11,10.0706713781,801.6,2.8571428571,10.3553608906,23.0254920085,51.989944055,50.5039798383,9.76493483232
S07,BOR,1,3.57928615005,0.405013551034,93.2565517241,0.0105209882133,0.184352922407,0.562,0.438,46.6206896552,973.7,2.99401197602,13.6468679207,32.480103271,63.6809815951,9.12946256458,11.6988509166
S07,CLC,1,3.76035407177,0.520281032086,92.0985485103,0.00660259662524,0.114521457908,0.931,0.069,10.5805958747,878.5,2.99401197602,6.74802970029,19.8932077883,29.6964725185,15.3666832096,7.0444629104
S07,INT,1,2.65056949185,0.558986412841,90.7877114256,0.00839077065573,0.173756943472,0.791,0.209,21.435968243,970.3,3.00300300288,11.0763611109,20.7563639352,55.7835006547,16.7583946571,10.6451286264
S08,BOR,1,3.60642993124,0.337761007802,89.3710446467,0.0078297281665,0.102039080024,0.421,0.579,57.6506285219,771.8,3.00300300301,14.7488036004,19.107018764,76.3130792997,2.54198050543,13.4519568928
S08,CLC,1,3.96997314774,0.529423076605,84.9964157706,0.00882457296854,0.120049873841,0.882,0.118,11.3405933158,891.4,3.00300300301,6.9558631527,16.699316935,30.6939123031,14.2031112218,7.48476223067
S08,INT,1,3.9934400817,0.522547153543,81.75696767,0.0107800887979,0.170649933602,0.889,0.111,10.542432196,764.7,3.00300300301,10.2664179002,20.6549039498,51.7953762912,19.3028985735,10.2649770983
R2-01,BOR,2,2.80556689778,0.529869192779,,0.0121623966918,0.179169320734,0.81580871897,0.18419128103,15.9216674115,1025.280496,120.048019208,10.3674318998,20.807874279,51.9911481966,31.191671489,10.7083228008
R2-01,CLC,2,2.77079157441,0.520130985556,58.7171717172,0.0111627791078,0.168247341944,0.969241508429,0.030758491571,2.92857315784,1032.446598,120.148984741,9.94038766056,18.8031378758,49.5988093159,40.7384463091,9.99599778383
R2-01,INT,2,3.00021935141,0.538119586179,64.5813953488,0.0131021583015,0.142534995211,0.916772455772,0.083227544228,7.58182380418,1023.799203,120.12012012,9.16683540488,22.023775601,44.6591623639,41.3753056259,8.13228802112
R2-02,BOR,2,3.39493061309,0.468603471289,,0.0112881767617,0.195426281861,0.753374152885,0.246625847115,21.6150154913,1019.132361,120.033609411,11.7541703009,23.1252178355,56.7307267018,53.1631878443,11.1805812257
R2-02,CLC,2,3.99520543423,0.464723247439,69.427184466,0.00982845547486,0.140243718165,0.963610016608,0.0363899833925,3.30196359373,1023.373087,120.048019208,9.01873745134,20.709508242,44.2633994358,49.4837564117,8.29816141017
R2-02,INT,2,3.28907929326,0.520758557317,67.4126213592,0.0123488776212,0.149044858102,0.976728788223,0.0232712117766,2.08299483313,1025.555801,120.004800192,10.463958266,22.4358467802,53.1714280971,44.7564956596,8.54087175797
R2-03,BOR,2,3.8459363748,0.547926283707,79.1625615764,0.00824855148803,0.131123317035,0.883429648856,0.116570351144,10.9930293681,1020.723427,120.148984741,10.987646576,23.6678176098,56.9842084992,63.6154521098,10.6288196419
R2-03,CLC,2,3.83660966004,0.53737282493,76.8638297872,0.00641415893199,0.121095087891,0.93600573626,0.0639942637396,6.00095604341,1167.827818,120.148984741,9.66128945109,19.3568990477,47.6303605313,56.4127480809,6.87881118034
R2-03,INT,2,3.78842175162,0.541608051574,88.645631068,0.007249176169,0.121451997405,0.945416178767,0.0545838212334,4.50738355451,1024.539724,120.019203073,13.6236949082,24.98611876,70.96617617,81.2272439026,7.48765492207
R2-04,BOR,2,3.76285584392,0.472906090452,72.9950248756,0.00978690997551,0.121732598556,0.922186587723,0.0778134122775,7.27601661116,1013.231771,120.12012012,8.68092190582,16.0995292691,41.1008257977,57.2114339274,7.78806719228
R2-04,CLC,2,3.8464644152,0.475527961596,72.980952381,0.01119717632,0.109740020412,0.945333521056,0.0546664789437,5.33133095551,1065.254078,120.148984741,7.87290470723,16.1475037021,32.5261774696,38.6389263946,6.79783939273
R2-04,INT,2,3.97181227853,0.516065824338,75.7087378641,0.00920790011099,0.104645255044,0.929094232331,0.0709057676686,6.82128350934,1025.581101,120.105693011,6.38837779251,16.098931027,23.1573991735,31.4165520608,6.25919515022
