subject,stimulus,bin,pct_of_episode,openness
S04,BOR,11,11.5,0.88
S04,BOR,12,12.5,0.96
S04,BOR,13,13.5,0.96
S04,BOR,14,14.5,0.916666666667
S04,BOR,15,15.5,0.96
S04,BOR,16,16.5,1
S04,BOR,17,17.5,0.916666666667
S04,BOR,18,18.5,0.96
S04,BOR,19,19.5,0.92
S04,BOR,20,20.5,0.958333333333
S04,BOR,21,21.5,0.92
S04,BOR,22,22.5,0.72
S04,BOR,23,23.5,0.875
S04,BOR,24,24.5,0.92
S04,BOR,25,25.5,0.92
S04,BOR,26,26.5,0.88
S04,BOR,27,27.5,0.958333333333
S04,BOR,28,28.5,0.92
S04,BOR,29,29.5,0.96
S04,BOR,30,30.5,0.958333333333
S04,BOR,31,31.5,0.88
S04,BOR,32,32.5,0.96
S04,BOR,33,33.5,0.92
S04,BOR,34,34.5,0.833333333333
S04,BOR,35,35.5,0.92
S04,BOR,36,36.5,0.76
S04,BOR,37,37.5,0.916666666667
S04,BOR,38,38.5,0.96
S04,BOR,39,39.5,0.96
S04,BOR,40,40.5,0.96
S04,BOR,41,41.5,1
S04,BOR,42,42.5,1
S04,BOR,43,43.5,0.84
S04,BOR,44,44.5,1
S04,BOR,45,45.5,0.875
S04,BOR,46,46.5,0.96
S04,BOR,47,47.5,0.8
S04,BOR,48,48.5,0.916666666667
S04,BOR,49,49.5,0.92
S04,BOR,50,50.5,0.92
S04,BOR,51,51.5,0.96
S04,BOR,52,52.5,0.958333333333
S04,BOR,53,53.5,0.72
S04,BOR,54,54.5,0.88
S04,BOR,55,55.5,0.958333333333
S04,BOR,56,56.5,1
S04,BOR,57,57.5,0.88
S04,BOR,58,58.5,0.96
S04,BOR,59,59.5,0.875
S04,BOR,60,60.5,0.96
S04,BOR,61,61.5,0.96
S04,BOR,62,62.5,0.958333333333
S04,BOR,63,63.5,0.92
S04,BOR,64,64.5,0.96
S04,BOR,65,65.5,1
S04,BOR,66,66.5,0.958333333333
S04,BOR,67,67.5,0.8
S04,BOR,68,68.5,0.92
S04,BOR,69,69.5,0.92
S04,BOR,70,70.5,0.916666666667
S04,BOR,71,71.5,0.84
S04,BOR,72,72.5,0.96
S04,BOR,73,73.5,1
S04,BOR,74,74.5,1
S04,BOR,75,75.5,0.96
S04,BOR,76,76.5,0.96
S04,BOR,77,77.5,1
S04,BOR,78,78.5,0.92
S04,BOR,79,79.5,0.96
S04,BOR,80,80.5,0.88
S04,BOR,81,81.5,0.958333333333
S04,BOR,82,82.5,0.8
S04,BOR,83,83.5,0.88
S04,BOR,84,84.5,0.92
S04,BOR,85,85.5,0.958333333333
S04,BOR,86,86.5,0.96
S04,BOR,87,87.5,0.88
S04,BOR,88,88.5,0.958333333333
S04,BOR,89,89.5,0.88
S04,BOR,90,90.5,0.92
S04,BOR,91,91.5,0.84
S04,BOR,92,92.5,0.875
S04,BOR,93,93.5,0.88
S04,BOR,94,94.5,0.92
S04,BOR,95,95.5,0.84
S04,BOR,96,96.5,0.875
S04,BOR,97,97.5,0.92
S04,BOR,98,98.5,0.88
S04,BOR,99,99.5,0.916666666667
S05,BOR,0,0.5,0.75
S05,BOR,1,1.5,0.958333333333
S05,BOR,2,2.5,0.791666666667
S05,BOR,3,3.5,0.695652173913
S05,BOR,4,4.5,0.833333333333
S05,BOR,5,5.5,0.916666666667
S05,BOR,6,6.5,0.782608695652
S05,BOR,7,7.5,0.916666666667
S05,BOR,8,8.5,0.875
S05,BOR,9,9.5,0.791666666667
S05,BOR,10,10.5,0.739130434783
S05,BOR,11,11.5,0.75
S05,BOR,12,12.5,0.833333333333
S05,BOR,13,13.5,0.434782608696
S05,BOR,14,14.5,0
S05,BOR,15,15.5,0
S05,BOR,16,16.5,0
S05,BOR,17,17.5,0
S05,BOR,18,18.5,0
S05,BOR,19,19.5,0
S05,BOR,20,20.5,0
S05,BOR,21,21.5,0
S05,BOR,22,22.5,0
S05,BOR,23,23.5,0.0434782608696
S05,BOR,24,24.5,0.375
S05,BOR,25,25.5,0
S05,BOR,26,26.5,0
S05,BOR,27,27.5,0
S05,BOR,28,28.5,0
S05,BOR,29,29.5,0.416666666667
S05,BOR,30,30.5,0.782608695652
S05,BOR,31,31.5,0
S05,BOR,32,32.5,0
S05,BOR,33,33.5,0
S05,BOR,34,34.5,0
S05,BOR,35,35.5,0
S05,BOR,36,36.5,0
S05,BOR,37,37.5,0
S05,BOR,38,38.5,0
S05,BOR,39,39.5,0
S05,BOR,40,40.5,0
S05,BOR,41,41.5,0
S05,BOR,42,42.5,0
S05,BOR,43,43.5,0
S05,BOR,44,44.5,0
S05,BOR,45,45.5,0
S05,BOR,46,46.5,0
S05,BOR,47,47.5,0
S05,BOR,48,48.5,0
S05,BOR,49,49.5,0
S05,BOR,50,50.5,0
S05,BOR,51,51.5,0
S05,BOR,52,52.5,0
S05,BOR,53,53.5,0
S05,BOR,54,54.5,0
S05,BOR,55,55.5,0
S05,BOR,56,56.5,0
S05,BOR,57,57.5,0
S05,BOR,58,58.5,0
S05,BOR,59,59.5,0
S05,BOR,60,60.5,0
S05,BOR,61,61.5,0
S05,BOR,62,62.5,0
S05,BOR,63,63.5,0
S05,BOR,64,64.5,0
S05,BOR,65,65.5,0
S05,BOR,66,66.5,0
S05,BOR,67,67.5,0
S05,BOR,68,68.5,0
S05,BOR,69,69.5,0
S05,BOR,70,70.5,0
S05,BOR,71,71.5,0
S05,BOR,72,72.5,0
S05,BOR,73,73.5,0
S05,BOR,74,74.5,0
S05,BOR,75,75.5,0
S05,BOR,76,76.5,0
S05,BOR,77,77.5,0
S05,BOR,78,78.5,0
S05,BOR,79,79.5,0
S05,BOR,80,80.5,0
S05,BOR,81,81.5,0
S05,BOR,82,82.5,0
S05,BOR,83,83.5,0
S05,BOR,84,84.5,0
S05,BOR,85,85.5,0
S05,BOR,86,86.5,0
S05,BOR,87,87.5,0.0416666666667
S05,BOR,88,88.5,0.583333333333
S05,BOR,89,89.5,0.782608695652
S05,BOR,90,90.5,0.75
S05,BOR,91,91.5,0.75
S05,BOR,92,92.5,0.608695652174
S05,BOR,93,93.5,0.541666666667
S05,BOR,94,94.5,0.583333333333
S05,BOR,95,95.5,0.708333333333
S05,BOR,96,96.5,0.782608695652
S05,BOR,97,97.5,0.791666666667
S05,BOR,98,98.5,0.75
S05,BOR,99,99.5,0.833333333333
S06,BOR,0,0.5,0.8
S06,BOR,1,1.5,0.916666666667
S06,BOR,2,2.5,0.96
S06,BOR,3,3.5,0.875
S06,BOR,4,4.5,0.916666666667
S06,BOR,5,5.5,0.96
S06,BOR,6,6.5,0.916666666667
S06,BOR,7,7.5,0.916666666667
S06,BOR,8,8.5,0.92
S06,BOR,9,9.5,0.625
S06,BOR,10,10.5,0.875
S06,BOR,11,11.5,0.958333333333
S06,BOR,12,12.5,0.92
S06,BOR,13,13.5,1
S06,BOR,14,14.5,0.958333333333
S06,BOR,15,15.5,1
S06,BOR,16,16.5,1
S06,BOR,17,17.5,1
S06,BOR,18,18.5,1
S06,BOR,19,19.5,0.958333333333
S06,BOR,20,20.5,0.875
S06,BOR,21,21.5,0.84
S06,BOR,22,22.5,0.958333333333
S06,BOR,23,23.5,0.791666666667
S06,BOR,24,24.5,0.88
S06,BOR,25,25.5,0.958333333333
S06,BOR,26,26.5,0.958333333333
S06,BOR,27,27.5,0.92
S06,BOR,28,28.5,0.5
S06,BOR,29,29.5,0.958333333333
S06,BOR,30,30.5,0.541666666667
S06,BOR,31,31.5,0.68
S06,BOR,32,32.5,0.333333333333
S06,BOR,33,33.5,0.708333333333
S06,BOR,34,34.5,0.84
S06,BOR,35,35.5,0.916666666667
S06,BOR,36,36.5,0.958333333333
S06,BOR,37,37.5,0.96
S06,BOR,38,38.5,1
S06,BOR,39,39.5,0.958333333333
S06,BOR,40,40.5,0.88
S06,BOR,41,41.5,0.541666666667
S06,BOR,42,42.5,0.666666666667
S06,BOR,43,43.5,0.92
S06,BOR,44,44.5,0.916666666667
S06,BOR,45,45.5,0.916666666667
S06,BOR,46,46.5,0.76
S06,BOR,47,47.5,0.833333333333
S06,BOR,48,48.5,0.875
S06,BOR,49,49.5,1
S06,BOR,50,50.5,0.958333333333
S06,BOR,51,51.5,1
S06,BOR,52,52.5,0.92
S06,BOR,53,53.5,0.666666666667
S06,BOR,54,54.5,0.92
S06,BOR,55,55.5,0.916666666667
S06,BOR,56,56.5,0.583333333333
S06,BOR,57,57.5,0.64
S06,BOR,58,58.5,0.916666666667
