subject,stimulus,round,variant,window,signal,stat,value
R2-01,INT,2,native,full,left_eye_dilation,median,3.050079
R2-01,INT,2,native,full,left_eye_dilation,min,1.996231
R2-01,INT,2,native,full,left_eye_dilation,sd,0.392985860714
R2-01,INT,2,native,full,left_eye_dilation,slope,8.45152066381e-05
R2-01,INT,2,native,full,left_eye_dilation,third1,3.07399189666
R2-01,INT,2,native,full,left_eye_dilation,third2,3.0921816363
R2-01,INT,2,native,full,left_eye_dilation,third3,3.06868562126
R2-01,INT,2,native,full,right_eye_dilation,delta_last_first_third,0.0342822835732
R2-01,INT,2,native,full,right_eye_dilation,max,4.559814
R2-01,INT,2,native,full,right_eye_dilation,mean,2.92215231808
R2-01,INT,2,native,full,right_eye_dilation,median,2.871933
R2-01,INT,2,native,full,right_eye_dilation,min,1.841934
R2-01,INT,2,native,full,right_eye_dilation,sd,0.381933489549
R2-01,INT,2,native,full,right_eye_dilation,slope,0.000153353471195
R2-01,INT,2,native,full,right_eye_dilation,third1,2.90881179347
R2-01,INT,2,native,full,right_eye_dilation,third2,2.91455108372
R2-01,INT,2,native,full,right_eye_dilation,third3,2.94309407704
R2-01,INT,2,native,r1matched,cognitive_load,delta_last_first_third,0.0186641203831
R2-01,INT,2,native,r1matched,cognitive_load,max,0.8144923
R2-01,INT,2,native,r1matched,cognitive_load,mean,0.539380621658
R2-01,INT,2,native,r1matched,cognitive_load,median,0.5484492
R2-01,INT,2,native,r1matched,cognitive_load,min,0.07104978
R2-01,INT,2,native,r1matched,cognitive_load,sd,0.155628690332
R2-01,INT,2,native,r1matched,cognitive_load,slope,-3.28724467566e-05
R2-01,INT,2,native,r1matched,cognitive_load,third1,0.545731763525
R2-01,INT,2,native,r1matched,cognitive_load,third2,0.507511898851
R2-01,INT,2,native,r1matched,cognitive_load,third3,0.564800807252
R2-01,INT,2,native,r1matched,eye_gaze_deviation,delta_last_first_third,0.0340098649478
R2-01,INT,2,native,r1matched,eye_gaze_deviation,max,0.6683398154
R2-01,INT,2,native,r1matched,eye_gaze_deviation,mean,0.176222269071
R2-01,INT,2,native,r1matched,eye_gaze_deviation,median,0.149730184632
R2-01,INT,2,native,r1matched,eye_gaze_deviation,min,0.00957227449052
R2-01,INT,2,native,r1matched,eye_gaze_deviation,sd,0.118362687109
R2-01,INT,2,native,r1matched,eye_gaze_deviation,slope,6.54045773008e-05
R2-01,INT,2,native,r1matched,eye_gaze_deviation,third1,0.159488013106
R2-01,INT,2,native,r1matched,eye_gaze_deviation,third2,0.175673688337
R2-01,INT,2,native,r1matched,eye_gaze_deviation,third3,0.193504502676
