stimulus,round,channel,pct_of_episode,median,q1,q3,n_subjects
INT,2,eye openness,11.5,0.963622878798,0.948917800468,0.976357642102,4
INT,2,eye openness,12.5,0.962475213163,0.917831050279,0.980884225626,4
INT,2,eye openness,13.5,0.974046913306,0.96461731886,0.985590670386,4
INT,2,eye openness,14.5,0.951900978523,0.946993714064,0.961715353042,4
INT,2,eye openness,15.5,0.926402162945,0.917674728222,0.941473836797,4
INT,2,eye openness,16.5,0.909246161513,0.883529590264,0.928941927445,4
INT,2,eye openness,17.5,0.91158373739,0.861313433252,0.964538346984,4
INT,2,eye openness,18.5,0.948928497011,0.906697565109,0.98567917709,4
INT,2,eye openness,19.5,0.958554043901,0.946256187139,0.973013493253,4
INT,2,eye openness,20.5,0.944684441967,0.906883685215,0.966558398199,4
INT,2,eye openness,21.5,0.945138283161,0.918395306682,0.972594445517,4
INT,2,eye openness,22.5,0.944798092757,0.924443139246,0.964985744832,4
INT,2,eye openness,23.5,0.941438532409,0.892406026832,0.978499627699,4
INT,2,eye openness,24.5,0.905503083576,0.893761059991,0.925870482365,4
INT,2,eye openness,25.5,0.939295598278,0.911815054407,0.953874929231,4
INT,2,eye openness,26.5,0.95137616377,0.927630581065,0.971045727137,4
INT,2,eye openness,27.5,0.937951173025,0.92943697866,0.957465783511,4
INT,2,eye openness,28.5,0.964076860747,0.933616502777,0.977042981594,4
INT,2,eye openness,29.5,0.914698562221,0.889948537641,0.941091718243,4
INT,2,eye openness,30.5,0.951762746125,0.917574760924,0.977661950856,4
INT,2,eye openness,31.5,0.937359746251,0.916423509222,0.954557112732,4
INT,2,eye openness,32.5,0.93402148783,0.865920158152,0.983414542729,4
INT,2,eye openness,33.5,0.899762056993,0.840676577719,0.921761590781,4
INT,2,eye openness,34.5,0.974708504801,0.890821171562,1,4
INT,2,eye openness,35.5,0.955409569296,0.927159337865,0.977039722185,4
INT,2,eye openness,36.5,0.937956384171,0.926365729674,0.960385438972,4
INT,2,eye openness,37.5,0.942201958712,0.818550113382,0.984156020536,4
INT,2,eye openness,38.5,0.958739580959,0.929364644008,0.970764617691,4
INT,2,eye openness,39.5,0.953776945336,0.943655900644,0.962815013075,4
INT,2,eye openness,40.5,0.977577744292,0.967649539791,0.981038926495,4
INT,2,eye openness,41.5,0.962322599456,0.943904830751,0.972585170834,4
INT,2,eye openness,42.5,0.969398108084,0.940401509952,0.980903396031,4
INT,2,eye openness,43.5,0.949260034137,0.946726048111,0.963059223134,4
INT,2,eye openness,44.5,0.944649331713,0.931009419231,0.959548727872,4
INT,2,eye openness,45.5,0.972843182318,0.937085124461,0.979880860523,4
INT,2,eye openness,46.5,0.937760929206,0.904071307597,0.953933843763,4
INT,2,eye openness,47.5,0.895123491035,0.828253912282,0.928808480339,4
INT,2,eye openness,48.5,0.924774442637,0.841973485955,0.969962020465,4
INT,2,eye openness,49.5,0.948024126433,0.930485239179,0.963679770498,4
INT,2,eye openness,50.5,0.962748626619,0.934783481738,0.978087663522,4
INT,2,eye openness,51.5,0.927737929229,0.888380852301,0.947767217452,4
INT,2,eye openness,52.5,0.97618468603,0.96723779763,0.986225637182,4
INT,2,eye openness,53.5,0.953035308064,0.908821775532,0.959516098836,4
INT,2,eye openness,54.5,0.88463105812,0.814180101307,0.948280984584,4
INT,2,eye openness,55.5,0.914368422066,0.671570464768,0.945700708912,4
INT,2,eye openness,56.5,0.919929183809,0.881729435428,0.946466809421,4
INT,2,eye openness,57.5,0.921312440195,0.909303372565,0.940391076731,4
INT,2,eye openness,58.5,0.951235779558,0.907030826129,0.974499404778,4
INT,2,eye openness,59.5,0.925786898009,0.902396574841,0.961033950617,4
INT,2,eye openness,60.5,0.96734964547,0.960672423524,0.980206847361,4
INT,2,eye openness,61.5,0.940834364949,0.91661670767,0.962589500003,4
INT,2,eye openness,62.5,0.931909559624,0.898070944037,0.938265367523,4
INT,2,eye openness,63.5,0.943480626712,0.910723629981,0.973571624459,4
INT,2,eye openness,64.5,0.933153195851,0.816685032618,0.979880722019,4
INT,2,eye openness,65.5,0.964177077759,0.911051739939,0.977101493089,4
INT,2,eye openness,66.5,0.969872188392,0.9252256435,0.984257871065,4
INT,2,eye openness,67.5,0.961340280443,0.927444994747,0.982290104948,4
INT,2,eye openness,68.5,0.923055521588,0.868423523784,0.964001968422,4
INT,2,eye openness,69.5,0.948405789973,0.941859060182,0.957787105793,4
INT,2,eye openness,70.5,0.951876672453,0.929436111709,0.958691462208,4
INT,2,eye openness,71.5,0.947943466539,0.938123306393,0.962140224116,4
INT,2,eye openness,72.5,0.95796467398,0.933629032614,0.978272800495,4
INT,2,eye openness,73.5,0.960696247243,0.939550000401,0.968277538004,4
INT,2,eye openness,74.5,0.954861853164,0.913415271281,0.96762356204,4
INT,2,eye openness,75.5,0.957124622913,0.948142383601,0.966388199236,4
INT,2,eye openness,76.5,0.935872768473,0.913417134026,0.95263341753,4
INT,2,eye openness,77.5,0.972385689136,0.957911686058,0.982806275434,4
INT,2,eye openness,78.5,0.974199182511,0.968293815257,0.978382996424,4
INT,2,eye openness,79.5,0.96705635405,0.948533601808,0.977248959226,4
INT,2,eye openness,80.5,0.934800750509,0.911560268532,0.960270875282,4
INT,2,eye openness,81.5,0.961243276152,0.913044929936,0.96798760518,4
INT,2,eye openness,82.5,0.982849881644,0.947614522503,0.98945473251,4
INT,2,eye openness,83.5,0.941808031169,0.879981309769,0.967110194903,4
INT,2,eye openness,84.5,0.899827104083,0.836628732286,0.962475456765,4
INT,2,eye openness,85.5,0.911734017951,0.874644048425,0.9531500949,4
INT,2,eye openness,86.5,0.928825843584,0.862382358701,0.946675675001,4
INT,2,eye openness,87.5,0.951809717569,0.925515695043,0.977193606385,4
INT,2,eye openness,88.5,0.944086221134,0.903452606792,0.966949588477,4
INT,2,eye openness,89.5,0.990542469664,0.969610000793,1,4
INT,2,eye openness,90.5,0.969077640001,0.954655129493,0.985201042443,4
INT,2,eye openness,91.5,0.984053497942,0.953077393847,1,4
INT,2,eye openness,92.5,0.956275720165,0.911767360561,1,4
INT,2,eye openness,93.5,0.960959546808,0.947294559034,0.980712725995,4
INT,2,eye openness,94.5,0.948482503847,0.936426160245,0.96386395384,4
INT,2,eye openness,95.5,0.931336921088,0.903096482,0.954179485254,4
INT,2,eye openness,96.5,0.954460438312,0.69212962963,0.989561027837,4
INT,2,eye openness,97.5,0.0665278986754,0.0165834522111,0.311860659177,4
INT,2,eye openness,98.5,0,0,0.149254370929,4
INT,2,eye openness,99.5,0.0288264114698,0.0139186295504,0.225949154569,4
INT,1,pupil dilation,0.5,3.12012866489,2.89331592969,3.51926568116,8
INT,1,pupil dilation,1.5,2.9885151953,2.7946806107,3.57081872858,8
INT,1,pupil dilation,2.5,3.15357961608,2.78657502024,3.80202240404,8
INT,1,pupil dilation,3.5,3.4931588901,2.70600844792,3.95327061719,8
INT,1,pupil dilation,4.5,3.28151401296,3.02065049269,3.60364114322,8
INT,1,pupil dilation,5.5,3.49727889421,3.31408373341,3.74183047937,8
INT,1,pupil dilation,6.5,3.26178814584,3.1467271007,3.5860448448,8
INT,1,pupil dilation,7.5,3.63785391815,3.13215855571,3.99330876268,8
INT,1,pupil dilation,8.5,3.62553148687,3.13858956875,3.81345033613,8
INT,1,pupil dilation,9.5,3.56960307435,3.35984392105,3.74772847619,8
INT,1,pupil dilation,10.5,3.38552831391,3.18990943709,3.69822993841,8
INT,1,pupil dilation,11.5,3.35652269318,3.02937051875,3.55467839108,8
INT,1,pupil dilation,12.5,3.51189380476,2.97469723688,3.66162748356,8
INT,1,pupil dilation,13.5,3.46663153847,3.01100527577,3.94616601137,8
INT,1,pupil dilation,14.5,3.26668607608,3.18128227418,3.68673334843,8
INT,1,pupil dilation,15.5,3.27985664883,3.04097374073,3.83488713021,8
INT,1,pupil dilation,16.5,3.55886076786,2.93642864,3.65638202434,8
INT,1,pupil dilation,17.5,3.45603793447,3.16846613441,3.81459679063,8
INT,1,pupil dilation,18.5,3.45195865613,3.13144993821,3.86520271154,8
INT,1,pupil dilation,19.5,3.07803186483,2.99290929605,3.17143855334,8
INT,1,pupil dilation,20.5,3.23445088552,3.04738570855,3.53481721298,8
INT,1,pupil dilation,21.5,3.26181660288,2.93209266625,3.36180445555,8
INT,1,pupil dilation,22.5,3.258088395,2.85664253125,3.7846784687,8
INT,1,pupil dilation,23.5,2.99472158742,2.66090904167,3.70248121875,8
INT,1,pupil dilation,24.5,3.45456673366,2.96839980342,4.01858374634,8
INT,1,pupil dilation,25.5,3.09041659091,2.87024238462,3.78094671875,8
INT,1,pupil dilation,26.5,3.30400799308,3.05224321349,3.77268300525,8
INT,1,pupil dilation,27.5,3.5215603375,3.10981489912,4.00022089191,8
INT,1,pupil dilation,28.5,3.38243127916,3.11261639,3.58255965217,8
INT,1,pupil dilation,29.5,3.37576775126,3.13036146334,3.57377217024,8
INT,1,pupil dilation,30.5,3.34714460336,3.12378213492,3.49649248906,8
INT,1,pupil dilation,31.5,3.19678823684,2.96790355097,3.66183318497,8
INT,1,pupil dilation,32.5,3.11776426,3.06751051315,3.36563414,8
INT,1,pupil dilation,33.5,3.19106205279,3.14294004327,3.42572395833,8
INT,1,pupil dilation,34.5,3.30017068978,2.95859222496,3.62238704875,8
INT,1,pupil dilation,35.5,3.53015988337,2.7271668051,3.84373104365,8
INT,1,pupil dilation,36.5,3.17951611337,2.81339005934,3.53486662088,8
INT,1,pupil dilation,37.5,3.25140197596,3.10733824204,3.35308714806,8
INT,1,pupil dilation,38.5,3.30531291238,3.14961930304,3.48162117045,8
INT,1,pupil dilation,39.5,3.38792775282,2.96798411988,3.62916953571,8
INT,1,pupil dilation,40.5,3.15218461314,2.86817569063,3.28257650711,8
