anchor_stimulus,channel,subject,round,stimulus,value,poolable
INT,cognitive load,S08,1,CLC,0.529423076605,True
INT,cognitive load,S08,1,INT,0.522547153543,True
INT,cognitive load,R2-01,2,BOR,0.529869192779,True
INT,cognitive load,R2-01,2,CLC,0.520130985556,True
INT,cognitive load,R2-01,2,INT,0.538119586179,True
INT,cognitive load,R2-02,2,BOR,0.468603471289,True
INT,cognitive load,R2-02,2,CLC,0.464723247439,True
INT,cognitive load,R2-02,2,INT,0.520758557317,True
INT,cognitive load,R2-03,2,BOR,0.547926283707,True
INT,cognitive load,R2-03,2,CLC,0.53737282493,True
INT,cognitive load,R2-03,2,INT,0.541608051574,True
INT,cognitive load,R2-04,2,BOR,0.472906090452,True
INT,cognitive load,R2-04,2,CLC,0.475527961596,True
INT,cognitive load,R2-04,2,INT,0.516065824338,True
INT,HR,S01,1,BOR,79.4072543618,True
INT,HR,S01,1,CLC,77.1009637448,True
INT,HR,S01,1,INT,76.2474541752,True
INT,HR,S02,1,BOR,68.307973665,True
INT,HR,S02,1,CLC,70.0651693667,True
INT,HR,S02,1,INT,67.5026435045,True
INT,HR,S03,1,BOR,86.390070922,True
INT,HR,S03,1,CLC,87.9583853516,True
INT,HR,S03,1,INT,95.8778700537,True
INT,HR,S04,1,BOR,98.4739183178,True
INT,HR,S04,1,CLC,95.9960614415,True
INT,HR,S04,1,INT,94.3189882975,True
INT,HR,S05,1,BOR,57.7666523421,True
INT,HR,S05,1,CLC,63.324828263,True
INT,HR,S05,1,INT,58.6818181818,True
INT,HR,S06,1,BOR,92.2900575185,True
INT,HR,S06,1,CLC,89.5385964912,True
INT,HR,S06,1,INT,89.9792402827,True
INT,HR,S07,1,BOR,93.2565517241,True
INT,HR,S07,1,CLC,92.0985485103,True
INT,HR,S07,1,INT,90.7877114256,True
INT,HR,S08,1,BOR,89.3710446467,True
INT,HR,S08,1,CLC,84.9964157706,True
INT,HR,S08,1,INT,81.75696767,True
INT,HR,R2-01,2,BOR,,True
INT,HR,R2-01,2,CLC,58.7171717172,True
INT,HR,R2-01,2,INT,64.5813953488,True
INT,HR,R2-02,2,BOR,,True
INT,HR,R2-02,2,CLC,69.427184466,True
INT,HR,R2-02,2,INT,67.4126213592,True
INT,HR,R2-03,2,BOR,79.1625615764,True
INT,HR,R2-03,2,CLC,76.8638297872,True
INT,HR,R2-03,2,INT,88.645631068,True
INT,HR,R2-04,2,BOR,72.9950248756,True
INT,HR,R2-04,2,CLC,72.980952381,True
INT,HR,R2-04,2,INT,75.7087378641,True
INT,gaze deviation variance,S01,1,BOR,0.0107842078986,False
INT,gaze deviation variance,S01,1,CLC,0.00739283780075,False
INT,gaze deviation variance,S01,1,INT,0.00858282465875,False
INT,gaze deviation variance,S02,1,BOR,0.00953065061937,False
INT,gaze deviation variance,S02,1,CLC,0.0103347069616,False
INT,gaze deviation variance,S02,1,INT,0.0108497077248,False
INT,gaze deviation variance,S03,1,BOR,0.0094745823527,False
INT,gaze deviation variance,S03,1,CLC,0.00855660471424,False
INT,gaze deviation variance,S03,1,INT,0.00889440595004,False
INT,gaze deviation variance,S04,1,BOR,0.0169382654317,False
INT,gaze deviation variance,S04,1,CLC,0.0101382823608,False
INT,gaze deviation variance,S04,1,INT,0.0151795033656,False
INT,gaze deviation variance,S05,1,BOR,0.00858120563743,False
INT,gaze deviation variance,S05,1,CLC,0.0109696424805,False
INT,gaze deviation variance,S05,1,INT,0.00676518165407,False
INT,gaze deviation variance,S06,1,BOR,0.0156226650676,False
INT,gaze deviation variance,S06,1,CLC,0.0117929731567,False
INT,gaze deviation variance,S06,1,INT,0.011567636128,False
INT,gaze deviation variance,S07,1,BOR,0.0105209882133,False
INT,gaze deviation variance,S07,1,CLC,0.00660259662524,False
INT,gaze deviation variance,S07,1,INT,0.00839077065573,False
INT,gaze deviation variance,S08,1,BOR,0.0078297281665,False
INT,gaze deviation variance,S08,1,CLC,0.00882457296854,False
INT,gaze deviation variance,S08,1,INT,0.0107800887979,False
INT,gaze deviation variance,R2-01,2,BOR,0.0121623966918,False
INT,gaze deviation variance,R2-01,2,CLC,0.0111627791078,False
INT,gaze deviation variance,R2-01,2,INT,0.0131021583015,False
INT,gaze deviation variance,R2-02,2,BOR,0.0112881767617,False
INT,gaze deviation variance,R2-02,2,CLC,0.00982845547486,False
INT,gaze deviation variance,R2-02,2,INT,0.0123488776212,False
INT,gaze deviation variance,R2-03,2,BOR,0.00824855148803,False
INT,gaze deviation variance,R2-03,2,CLC,0.00641415893199,False
INT,gaze deviation variance,R2-03,2,INT,0.007249176169,False
INT,gaze deviation variance,R2-04,2,BOR,0.00978690997551,False
INT,gaze deviation variance,R2-04,2,CLC,0.01119717632,False
INT,gaze deviation variance,R2-04,2,INT,0.00920790011099,False
INT,gaze deviation median,S01,1,BOR,0.148497449904,False
INT,gaze deviation median,S01,1,CLC,0.11903780912,False
INT,gaze deviation median,S01,1,INT,0.136257009847,False
INT,gaze deviation median,S02,1,BOR,0.185243758329,False
INT,gaze deviation median,S02,1,CLC,0.167077826177,False
INT,gaze deviation median,S02,1,INT,0.165512084151,False
INT,gaze deviation median,S03,1,BOR,0.198297755913,False
INT,gaze deviation median,S03,1,CLC,0.188436226795,False
INT,gaze deviation median,S03,1,INT,0.167919488119,False
INT,gaze deviation median,S04,1,BOR,0.205063405581,False
INT,gaze deviation median,S04,1,CLC,0.280688439377,False
INT,gaze deviation median,S04,1,INT,0.196053564109,False
INT,gaze deviation median,S05,1,BOR,0.173011560307,False
INT,gaze deviation median,S05,1,CLC,0.135235900815,False
INT,gaze deviation median,S05,1,INT,0.13506015885,False
INT,gaze deviation median,S06,1,BOR,0.241530182077,False
INT,gaze deviation median,S06,1,CLC,0.307845740591,False
INT,gaze deviation median,S06,1,INT,0.167388769038,False
INT,gaze deviation median,S07,1,BOR,0.184352922407,False
INT,gaze deviation median,S07,1,CLC,0.114521457908,False
INT,gaze deviation median,S07,1,INT,0.173756943472,False
INT,gaze deviation median,S08,1,BOR,0.102039080024,False
INT,gaze deviation median,S08,1,CLC,0.120049873841,False
INT,gaze deviation median,S08,1,INT,0.170649933602,False
INT,gaze deviation median,R2-01,2,BOR,0.179169320734,False
INT,gaze deviation median,R2-01,2,CLC,0.168247341944,False
INT,gaze deviation median,R2-01,2,INT,0.142534995211,False
INT,gaze deviation median,R2-02,2,BOR,0.195426281861,False
INT,gaze deviation median,R2-02,2,CLC,0.140243718165,False
INT,gaze deviation median,R2-02,2,INT,0.149044858102,False
INT,gaze deviation median,R2-03,2,BOR,0.131123317035,False
INT,gaze deviation median,R2-03,2,CLC,0.121095087891,False
INT,gaze deviation median,R2-03,2,INT,0.121451997405,False
INT,gaze deviation median,R2-04,2,BOR,0.121732598556,False
INT,gaze deviation median,R2-04,2,CLC,0.109740020412,False
INT,gaze deviation median,R2-04,2,INT,0.104645255044,False
